"Grant_Application_ID"	"RFCD_Code"	"RFCD_Percentage"	"SEO_Code"	"SEO_Percentage"	"Person_ID"	"Role"	"Year_of_Birth"	"Country_of_Birth"	"Home_Language"	"Dept_No"	"Faculty_No"	"With_PHD"	"No_of_Years_in_Uni_at_Time_of_Grant"	"Number_of_Successful_Grant"	"Number_of_Unsuccessful_Grant"	"A2"	"A"	"B"	"C"	"Grant_Status"	"Sponsor_Code"	"Contract_Value_Band"	"Grant_Category_Code"
1	"RFCD280199"	100	"SEO700299"	100	40572	"CHIEF_INVESTIGATOR"	"1965"	"AsiaPacific"	"OtherLang"	"Dept3073"	"Faculty31"	""	"DurationLT0"	0	0	4	2	0	0	1	"SponsorUnk"	"ContractValueBandA"	"GrantCatUnk"
2	"RFCD280103"	30	"SEO700103"	50	9067	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	""	"Dept2538"	"Faculty25"	"Yes"	"DurationGT15"	0	0	6	12	2	2	1	"Sponsor2B"	"ContractValueBandB"	"GrantCat10A"
3	"RFCD321004"	60	"SEO730105"	60	5967	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	""	"Dept2923"	"Faculty25"	"Yes"	"Duration5to10"	0	0	0	3	5	2	1	"Sponsor29A"	"ContractValueBandA"	"GrantCat10B"
3	""	""	""	""	""	"EXT_CHIEF_INVESTIGATOR"	""	""	""	""	""	""	"DurationUnk"	""	""	""	""	""	""	1	"Sponsor29A"	"ContractValueBandA"	"GrantCat10B"
3	""	""	""	""	""	"EXT_CHIEF_INVESTIGATOR"	""	""	""	""	""	""	"DurationUnk"	""	""	""	""	""	""	1	"Sponsor29A"	"ContractValueBandA"	"GrantCat10B"
3	"RFCD321216"	40	"SEO730207"	40	27307	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	""	"Dept2923"	"Faculty25"	""	"DurationLT0"	0	0	0	0	0	0	1	"Sponsor29A"	"ContractValueBandA"	"GrantCat10B"
3	""	""	""	""	""	"EXT_CHIEF_INVESTIGATOR"	""	""	""	""	""	""	"DurationUnk"	""	""	""	""	""	""	1	"Sponsor29A"	"ContractValueBandA"	"GrantCat10B"
3	""	""	""	""	79652	"CHIEF_INVESTIGATOR"	"1950"	"AsiaPacific"	""	"Dept2498"	"Faculty25"	"Yes"	"DurationGT15"	0	0	1	3	3	3	1	"Sponsor29A"	"ContractValueBandA"	"GrantCat10B"
3	""	""	""	""	11667	"DELEGATED_RESEARCHER"	"1950"	"Australia"	""	"Dept2548"	"Faculty25"	""	"DurationGT15"	0	0	6	14	12	2	1	"Sponsor29A"	"ContractValueBandA"	"GrantCat10B"
4	"RFCD270602"	50	"SEO730106"	70	78782	"PRINCIPAL_SUPERVISOR"	"1955"	"Australia"	""	"Dept2678"	"Faculty25"	"Yes"	"Duration5to10"	0	0	0	3	13	3	1	"Sponsor40D"	"ContractValueBandC"	"GrantCat10B"
4	""	""	""	""	""	"EXT_CHIEF_INVESTIGATOR"	""	""	""	""	""	""	"DurationUnk"	""	""	""	""	""	""	1	"Sponsor40D"	"ContractValueBandC"	"GrantCat10B"
4	""	""	""	""	""	"EXT_CHIEF_INVESTIGATOR"	""	""	""	""	""	""	"DurationUnk"	""	""	""	""	""	""	1	"Sponsor40D"	"ContractValueBandC"	"GrantCat10B"
4	"RFCD320602"	50	"SEO730201"	30	55337	"CHIEF_INVESTIGATOR"	"1975"	"Australia"	""	"Dept2678"	"Faculty25"	"Yes"	"Duration0to5"	0	0	0	0	0	0	1	"Sponsor40D"	"ContractValueBandC"	"GrantCat10B"
4	""	""	""	""	""	"EXT_CHIEF_INVESTIGATOR"	""	""	""	""	""	""	"DurationUnk"	""	""	""	""	""	""	1	"Sponsor40D"	"ContractValueBandC"	"GrantCat10B"
4	""	""	""	""	""	"STUD_CHIEF_INVESTIGATOR"	""	""	""	""	""	""	"DurationUnk"	""	""	""	""	""	""	1	"Sponsor40D"	"ContractValueBandC"	"GrantCat10B"
5	"RFCD260500"	34	"SEO770199"	100	13042	"CHIEF_INVESTIGATOR"	"1965"	"WesternEurope"	""	"Dept2153"	"Faculty19"	"Yes"	"Duration5to10"	0	0	3	0	1	0	0	"Sponsor59C"	"ContractValueBandA"	"GrantCat10A"
6	"RFCD321204"	100	"SEO730211"	100	301472	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	""	"Dept2533"	"Faculty25"	"Yes"	"Duration0to5"	2	0	7	27	27	6	1	"Sponsor4D"	"ContractValueBandUnk"	"GrantCat10A"
7	"RFCD270401"	20	""	""	79742	"CHIEF_INVESTIGATOR"	"1950"	"GreatBritain"	""	"Dept3028"	"Faculty31"	""	"DurationLT0"	0	0	0	7	12	4	0	"Sponsor2B"	"ContractValueBandUnk"	"GrantCat10A"
7	""	""	""	""	""	"EXT_CHIEF_INVESTIGATOR"	""	""	""	""	""	""	"DurationUnk"	""	""	""	""	""	""	0	"Sponsor2B"	"ContractValueBandUnk"	"GrantCat10A"
7	"RFCD270203"	30	"SEO770706"	40	82602	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	""	"Dept3028"	"Faculty31"	"Yes"	"Duration10to15"	0	1	0	0	0	0	0	"Sponsor2B"	"ContractValueBandUnk"	"GrantCat10A"
7	"RFCD270708"	50	"SEO770703"	60	74292	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	""	"Dept3028"	"Faculty31"	"Yes"	"Duration10to15"	0	0	8	5	2	0	0	"Sponsor2B"	"ContractValueBandUnk"	"GrantCat10A"
8	""	""	""	""	""	"EXT_CHIEF_INVESTIGATOR"	""	""	""	""	""	""	"DurationUnk"	""	""	""	""	""	""	0	"Sponsor28D"	"ContractValueBandA"	"GrantCat30B"
8	"RFCD321405"	100	"SEO730303"	100	1642	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	""	"Dept2563"	"Faculty25"	""	"DurationUnk"	0	3	0	0	0	0	0	"Sponsor28D"	"ContractValueBandA"	"GrantCat30B"
8	""	""	""	""	70212	"CHIEF_INVESTIGATOR"	"1940"	"Australia"	""	"Dept2563"	"Faculty25"	""	"DurationLT0"	0	0	0	0	0	0	0	"Sponsor28D"	"ContractValueBandA"	"GrantCat30B"
9	""	""	""	""	""	"EXT_CHIEF_INVESTIGATOR"	""	""	""	""	""	""	"DurationUnk"	""	""	""	""	""	""	1	"Sponsor2B"	"ContractValueBandH"	"GrantCat10A"
9	"RFCD260109"	50	""	""	80197	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	"English"	"Dept3123"	"Faculty31"	"Yes"	"Duration5to10"	2	1	0	0	0	0	1	"Sponsor2B"	"ContractValueBandH"	"GrantCat10A"
9	""	""	""	""	""	"EXT_CHIEF_INVESTIGATOR"	""	""	""	""	""	""	"DurationUnk"	""	""	""	""	""	""	1	"Sponsor2B"	"ContractValueBandH"	"GrantCat10A"
9	"RFCD260108"	50	"SEO780104"	100	1012	"CHIEF_INVESTIGATOR"	"1945"	"Australia"	"English"	"Dept3123"	"Faculty31"	"Yes"	"Duration5to10"	0	0	8	1	11	0	1	"Sponsor2B"	"ContractValueBandH"	"GrantCat10A"
10	"RFCD270704"	30	"SEO770502"	40	""	"EXT_CHIEF_INVESTIGATOR"	""	""	""	""	""	""	"DurationUnk"	""	""	""	""	""	""	1	"Sponsor2B"	"ContractValueBandUnk"	"GrantCat10A"
10	""	""	""	""	""	"EXT_CHIEF_INVESTIGATOR"	""	""	""	""	""	""	"DurationUnk"	""	""	""	""	""	""	1	"Sponsor2B"	"ContractValueBandUnk"	"GrantCat10A"
10	"RFCD270203"	30	""	""	""	"EXT_CHIEF_INVESTIGATOR"	""	""	""	""	""	""	"DurationUnk"	""	""	""	""	""	""	1	"Sponsor2B"	"ContractValueBandUnk"	"GrantCat10A"
10	"RFCD270708"	40	"SEO770503"	60	89462	"CHIEF_INVESTIGATOR"	"1930"	""	""	""	""	""	"DurationUnk"	0	0	1	0	0	0	1	"Sponsor2B"	"ContractValueBandUnk"	"GrantCat10A"
11	"RFCD230111"	60	"SEO740301"	100	67272	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	""	"Dept3098"	"Faculty31"	"Yes"	"Duration0to5"	0	0	2	4	0	0	1	"Sponsor2B"	"ContractValueBandG"	"GrantCat10A"
11	"RFCD230112"	40	""	""	80037	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	""	"Dept3098"	"Faculty31"	"Yes"	"DurationGT15"	1	0	0	0	0	0	1	"Sponsor2B"	"ContractValueBandG"	"GrantCat10A"
12	"RFCD270603"	20	"SEO730106"	30	1797	"CHIEF_INVESTIGATOR"	"1960"	"NorthAmerica"	""	"Dept2678"	"Faculty25"	"Yes"	"Duration5to10"	2	7	0	8	4	0	0	"Sponsor136D"	"ContractValueBandUnk"	"GrantCat30B"
12	"RFCD321003"	30	"SEO730115"	50	""	"STUD_CHIEF_INVESTIGATOR"	""	""	""	""	""	""	"DurationUnk"	""	""	""	""	""	""	0	"Sponsor136D"	"ContractValueBandUnk"	"GrantCat30B"
13	"RFCD320702"	100	"SEO730104"	100	73882	"CHIEF_INVESTIGATOR"	"1960"	"GreatBritain"	""	"Dept2713"	"Faculty25"	""	"DurationLT0"	1	1	4	3	2	1	1	"Sponsor4D"	"ContractValueBandUnk"	"GrantCat10A"
14	"RFCD239901"	49	""	""	132247	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	""	"Dept1998"	"Faculty19"	""	"DurationLT0"	0	1	0	0	0	0	0	"SponsorUnk"	"ContractValueBandUnk"	"GrantCatUnk"
14	""	""	""	""	""	"EXT_CHIEF_INVESTIGATOR"	""	""	""	""	""	""	"DurationUnk"	""	""	""	""	""	""	0	"SponsorUnk"	"ContractValueBandUnk"	"GrantCatUnk"
14	"RFCD291599"	51	"SEO730199"	100	38457	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	""	"Dept2153"	"Faculty19"	""	"DurationLT0"	0	0	3	4	2	0	0	"SponsorUnk"	"ContractValueBandUnk"	"GrantCatUnk"
14	""	""	""	""	""	"EXT_CHIEF_INVESTIGATOR"	""	""	""	""	""	""	"DurationUnk"	""	""	""	""	""	""	0	"SponsorUnk"	"ContractValueBandUnk"	"GrantCatUnk"
15	"RFCD280106"	30	"SEO700102"	50	8067	"CHIEF_INVESTIGATOR"	"1960"	"WesternEurope"	"OtherLang"	"Dept1998"	"Faculty19"	"Yes"	"Duration5to10"	0	2	0	0	0	0	1	"Sponsor2B"	"ContractValueBandUnk"	"GrantCat10A"
15	"RFCD280103"	30	""	""	80137	"DELEGATED_RESEARCHER"	"1950"	"Australia"	""	"Dept2163"	"Faculty19"	"Yes"	"DurationGT15"	0	0	1	5	1	0	1	"Sponsor2B"	"ContractValueBandUnk"	"GrantCat10A"
15	""	""	""	""	""	"EXT_CHIEF_INVESTIGATOR"	""	""	""	""	""	""	"DurationUnk"	""	""	""	""	""	""	1	"Sponsor2B"	"ContractValueBandUnk"	"GrantCat10A"
15	"RFCD280203"	40	"SEO700103"	50	9067	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	""	"Dept2538"	"Faculty25"	"Yes"	"DurationGT15"	3	3	6	12	2	2	1	"Sponsor2B"	"ContractValueBandUnk"	"GrantCat10A"
